Organization Type,Name,name,Region,Country,City,Latitude,Longitude,Size,Type,Sector,Address,Description,Additional Details,Website,Email,Id
Youth-led Co-ops,Bukavu Youth Agripreneurs (BYA),Agriculture,Africa,Democratic Republic of Congo,Bukavu,-2.5123017,28.8480284,0-5,Producer cooperative,Agriculture,"Av. Du Plateau No45 A, 3ème niveau; Q. Nguba; C. Ibanda/Bukavu-South Kivu, Democratic Republic of Congo (DRC)","AgriTech is an organization whose central objective is to respond, in quantity and quality, to the needs of rural and urban people in food production, for sustainable improvement to their health and financial situation. AgriTech provides training to youth in IT and agriculture because we believe that youth are the next generation to make this world a safer and better place to live.",,www.agritech.online,info@agritech.online,10
Youth-led Co-ops,Coopaeki,Agriculture,Africa,Democratic Republic of Congo,Bukavu,-2.5123017,28.8480284,0-5,Producer cooperative,Agriculture,"territoire de Walungu, Mushinga 
Bukavu +243",Coopérative Agro-ecologique du Kivu is a farm cooperative promoting coffee production and marketing,The coop was created in 2015 and have more than 500 members at the moment .It operates within 2 territories ( Mwenga and Walungu),https://www.facebook.com/coopaeki/,n/a,11
Youth-led Co-ops,MaraGrow Initiative CBO,Agriculture,Africa,Kenya,Vihiga,0.0815877,34.7229347,0-5,Producer cooperative,Agriculture,n/a,We produce healthy organic food for low income individuals.,,n/a,maragrowinitiative@gmail.com,12
Youth-led Co-ops,Abur Lango Farmers' Cooperative Society Ltd,Agriculture,Africa,Uganda,Kampala,0.3475964,32.5825197,0-5,Producer cooperative,Agriculture,n/a,"Abur Lango Farmers Cooperative Society Ltd. is a youth-led cooperative registered with the Ministry of Trade and Industry. We have more than forty fully paid members, the majority being youth because it was founded by youth.",It was founded in the year 2016 by a few young people who were ambitious in the business of agriculture. It remains the most active youth cooperative engaged in cassava production.,https://www.facebook.com/pages/category/Community-Organization/Abur-Lango-farmers-cooperative-society-Ltd-198619880938327/,alfco@gmail.com,13
Youth-led Co-ops,Youth Agriculture Cooperative,Agriculture,Africa,Somalia,Mogadishu,2.0469343,45.3181623,21-50,Producer cooperative,Agriculture,"UDHIS Building, Waberi District, Syl Street, P.O. BOX 48-BN-09010, Mogadishu, Somalia",We are a youth agricultural cooperative that aims to encourage youth to cultivate their farms in order to generate agricultural production that will play a role in food security (zero hunger) in my country.,"Youth Agriculture Co-operative is one of the co-operatives dedicated to serve their community farmers after the civil war collapsed all the country's infrastructure, who committed to assist farms in develop poor agriculture. YAC is Founded in 2016, that goals Youth agriculture empowerment, education progressing whether in the urban or rural . YAC put special spotlight on operational beside youth to help their needs and developing agriculture tools.",www.udhisom.so,coop.dev@udhisom.so,14
Youth-led Co-ops,Master Minds Producer Co-operative Society,Agriculture,Africa,Botswana,Kweneng District,-23.8367249,25.2837585,6-20,Producer cooperative,Agriculture,"Po Box 31759 Serowe, Molepolole, Kweneng District, Botswana","After being unemployed graduates, we grouped ourselves as friends to find ways to put food on the table. We then went for training at the Cooperative Center and registered a producer cooperative as we saw a niche in the market. After registration, we made sure we attended a practical course/incubation programme that trained us on Hydroponics. We learnt and practiced all production methods of farming, especially in horticulture. All members of the cooperative are employees in the cooperative exercising our value chain to implement and execute different duties in the farm and the whole administration of our cooperative.","It is made up of 10 youth who all have skills and training in agriculture and other areas like entrepreneurship, business management, financial literacy, software and network engineering, and marketing.",https://www.facebook.com/MasterMindsCoop/,mastermindscoop@gmail.com,15
Youth-led Co-ops,Camgrain,Agriculture,Europe,Italy,Rome,41.9027835,12.4963655,6-20,Producer cooperative,Agriculture,n/a,n/a,,n/a,camgrain.coop@coop.coop,16
Youth-led Co-ops,Sleep Fish Farmers Cooperative,Agriculture,Africa,Nigeria,Warri,5.5543995,5.7932008,6-20,Producer cooperative,Agriculture,n/a,Alero cooperative is primarily focused on aqua-culture and all things relating to agriculture at large.,,n/a,n/a,17
Youth-led Co-ops,Integrated Farmers cooperative union,Agriculture,Africa,Uganda,"Butaleja, Eastern Uganda",0.8474922,33.8411288,6-20,Producer cooperative,Agriculture,P. O. Box 117 Mbale,"Integrated farmers cooperative union was founded close to two years ago, according to the Ugandan statutes, it is the period required for registration to be effected, Myself together with some friends looked at the continued exploitation farmers were facing being fleeced by middlemen, and felt enough was enough. All profits were being taken away yet rice farming was a had task given the rudementary nature of equipment farmers were using. First thing was have farmers purchase their rice and look for market and sell at a better price, this would come in handy to solve the buffer stock impediment as well as having a stabilisation fund . We have grown to 3,000 farmers this mostly comprises of youth Uganda being the youngest nation in the world and women or young mothers. Our goals is not only to end at looking for better prices but to be able in future to use by products of these produce to do value addition chain, in production of feeds for animals, produce soft boards for construction, use rice husks to improve on the environment by producing energy for homes and industries , this will reduce on deforestation as fire word is the main source of energy for cooking. We feel this will spiral employment in 1. Animal husbandry agribusiness 2. Save the environment 3. Improve incomes to better living standards 4. Have affordable source of energy to power small scale cottages 5. Improve health and education standards since people can afford to pay And many others. Our conviction is cooperative is the way to go.","Integrated farmers cooperative union is located in Eastern Uganda, Butaleja District, Himutu subcounty, Nalusaga Township",n/a,npwalekwa@gmail.com,18
Youth-led Co-ops,Tunisie Coop,Agriculture,Africa,Tunisia,Ariana,36.8665367,10.1647233,0-5,Coopérative de consommateur.rice.s,Agriculture,"15 Rue Hassen Ibn Noaman Menzeh 7, Ariana, 2037 ,Tunisie",Coopérative de consommation pour promouvoir circuit court agriculteurs consommateurs.,mieux consommer ensemble pour une agriculture durable,www.tunisie-coop.tn,tunsie.coop@gmail.com,19
Youth-led Co-ops,Swaziland National Youth Cooperative Alliance,Apex Co-op,Africa,Swaziland,Manzini,-26.5081999,31.3713164,0-5,Multi-stakeholder cooperative,Apex Co-op,"P.O. Box 4854, Manzini, M200, Swaziland",ESNYCA is an apex body for youth coops in Eswatini.,,n/a,n/a,20
Youth-led Co-ops,Naya Nepal Multi-purpose Co-operative Society Ltd,Apex Co-op,Asia-Pacific,Nepal,Kakarvitta,26.646384,88.1559741,100+,Multi-stakeholder cooperative,Apex Co-op,"Mechinagar-6, Kakarvitta, Jhapa, Nepal",The Nepal Multi-purpose Co-operative Society Ltd (NNCCOOP) was established in 1994. It is a leading co-operative in our country which is not only doing its own business but also leads the overall cooperative movement here.,,http://www.ica-ap.coop/AboutUs/nepal-multipurpose-central-co-operative-union-ltd-nemccu,nemccu@gmail.com,21
Youth-led Co-ops,KOPINDO,Apex Co-op,Asia-Pacific,Indonesia,Jakarta,-6.2087634,106.845599,6-20,Multi-stakeholder cooperative,Apex Co-op,"Lapangan Roos Raya 52 / IV Street, Selmis Office Tebet, South Jakarta, Indonesia","Koperasi Pemuda Indonesia (KOPINDO) was born in 1981, is a federation of youth cooperatives. Our membership consists of about 129 youth cooperatives over the entire country, spread over 12 provinces.",,Kopindo.net,kopindo1981@gmail.com,22
Youth-led Co-ops,Co-operative Alliance of Kenya,Apex Co-op,Africa,Kenya,Nairobi,-1.2920659,36.8219462,6-20,Multi-stakeholder cooperative,Apex Co-op,"27162-00100 Nairobi, Kenya",Apex cooperative in Kenya,,www.cak.coop,info@cak.coop,23
Youth-led Co-ops,Ogun State Cooperative Federation Ltd.,Apex Co-op,Africa,Nigeria,"ASERO, ABEOKUTA, OGUN STATE, NIGERIA",7.174138,3.3786668,21-50,Work and employment cooperative,Apex Co-op,"Asero, Abeokuta, P.M.B. 2166, Sapon, Abeokuta, Ogun State, Nigeria","In 1952, all Cooperative Associations in the old Western Region came together and formed an Apex body which was known as the Cooperative Union of Western Nigeria (CUWN). In 1976, as a result of political re-organization in Nigeria, the Western Region was divided into three states namely Oyo, Ogun, and Ondo States, thus the need for the newly created states to form and establish their own cooperative unions. This exercise gave birth to the Cooperative Union of Ogun State Limited in 1976 (COUSON), now Ogun State Cooperative Federation Limited (OGSCOFED). It was created to serve as an umbrella union for all registered cooperatives and unions in the state. It is devoted to the advancement of economic democracy through cooperation.","OGSCOFED Limited performs these functions: 1. Auditing of books and records of all Cooperative organization in Ogun State, Nigeria. 2. Promotion and extension of Cooperative businesses. 3. Propaganda and Education 4. Public Relation 5. Service to Cooperative farmers 6. General welfare of the Cooperative Movement. 7. Sponsorship of new ventures. 8. Representation of Cooperative interests both internally and at International level etc.",https://www.facebook.com/pages/Ogun-State-Cooperative-Federation-Ltd/221544601347350,ogscofed@yahoo.co.uk,24
Youth-led Co-ops,Stater Saving and Credit Coop SL,Banking / credit unions,Africa,Ethiopia,Addis Abeba,8.9806034,38.7577605,0-5,Final consumer/user cooperative,Banking / credit unions,"PO Box 20869, Addis Abeba, Ethiopia","Stater Saving and Credit Cooperative Society is a community based financial service provider, founded in the capital city Addis Ababa, Ethiopia in 2016. The coop was registered as legal entity on September 2016 by 150 founder members.",,n/a,kidanunion@gmail.com,25
Youth-led Co-ops,Lagos State Youth Cooperative Society (LASYCOOP),Banking / credit unions,Africa,Nigeria,Lagos,6.5243793,3.3792057,0-5,Final consumer/user cooperative,Banking / credit unions,"Lascofed Building, Plot 6, Isaacstan Close, off Wempco Road, Ogba Industrial Scheme, Ogba, Ikeja, Lagos State, Lagos, Nigeria","The Lagos State Youth Cooperative Society is affliated with the Nigerian Youth Cooperative Network, which is the umbrella body for youth coops in Nigeria. We are into thrift and credit, coupled with some investment activities which has had value and bettered the lives of members.",,n/a,youthincoops@yahoo.com,26
Youth-led Co-ops,Campus Credit Multi-Purpose Cooperative Society,Banking / credit unions,Africa,Nigeria,Abraka,5.7894321,6.1023468,6-20,Final consumer/user cooperative,Banking / credit unions,"Post Graduate Class (Campus 1) Institute of Education, Delta State University, P .M. B 1, Abraka Delta State, Nigeria","CampusCredit Cooperative Society is a student-owned/driven consumer cooperative which originated from an idea by a group of post-graduate students in the Institute of Education, Delta State University, Abraka. The goal is to engineer trade systems on campuses that will enhance students' financial well-being which in turn improves students' academic performance.",Our strategy is simple: Harness students purchasing power through benefits associated with economies of scale; drive financial inclusion through promotion of the cooperative business enterprise; and enhance financial literacy amongst students through research-driven fInancial lIteracy counseling programs.,www.campuscredit.coop,team@campuscredit.coop,27
Youth-led Co-ops,Kiambu Inua Maisha SACCO,Banking / credit unions,Africa,Kenya,Nairobi,-1.2920659,36.8219462,0-5,Multi-stakeholder cooperative,Banking / credit unions,"Kiambu Inua Maisha SACCO, PO Box 594 Kiambu.",Iour Sacco is a small but potential in growth. It has 1023members. With modest share holding of 500 each. Enrollment as a new member has a registration fee of 500 Kenya shillings .mothly minimum deposit is Lena shillings 500.00 .,,n/a,kiambusacco@yahoo.co.ke,28
Youth-led Co-ops,Orapa Saccos,Banking / credit unions,Africa,Botswana,Orapa,-21.3119942,25.4022706,6-20,Multi-stakeholder cooperative,Banking / credit unions,n/a,n/a,,n/a,n/a,29
Youth-led Co-ops,Savings and Credit Co-operative,Banking / credit unions,Africa,Zambia,Lukulu,-14.4076036,23.2587992,6-20,Multi-stakeholder cooperative,Banking / credit unions,"Box 95006, Mitete, Kukulu, Zambia","Our Savings and Credit Co-operative Society is one of it's kind in a newly created district of Mitete. It seeks to create rural financial markets and brings on board the unbankable rural community. It has an overall objective of lowering the cost of finance, and encouraging residents to save more in preparation for uncertainties. It also aims to diversity into agricultural production, processing and marketing by engaging in the cashew nut industry.",We have a clear cut vision of becoming a leading SACCO in the western province of Zambia. Our team has built a standard set of skills in credit management and financial literacy capacity building strategies.,n/a,kasangabetrum@gmail.com,30
Youth-led Co-ops,Primary Agriculture Cooperative,Banking / credit unions,Asia-Pacific,India,Bilaspur,22.0796251,82.1391412,100+,Producer cooperative,Banking / credit unions,n/a,This is the dstrict central cooperative bank of Bilaspur.,,n/a,n/a,31
Youth-led Co-ops,Ditswammung SACCO,Banking / credit unions,Africa,Botswana,Gaborone,-24.6282079,25.9231471,0-5,Work and employment cooperative,Banking / credit unions,Private Bag 0074 Airport Road Block 8 Gaborone Botswana,n/a,,n/a,n/a,32
Youth-led Co-ops,Albayan Cooperative Investment and Credit Society,Banking / credit unions,Africa,Nigeria,Ibadan,7.3775355,3.9470396,0-5,Work and employment cooperative,Banking / credit unions,n/a,Interest free society,,n/a,n/a,33
Youth-led Co-ops,Atwima Cooperative Credit Union,Banking / credit unions,Africa,Ghana,Kumasi,6.6666004,-1.6162709,6-20,Work and employment cooperative,Banking / credit unions,"Box ks 8527, Adum -Kumasi (location Esaso off Barekese road near Adankwame
Kumasi, Ghana +233",Atwima Cooperative Credit Union is a cooperative that provides credit facilities to the youth who able to present a prolific business plan that needs financing.,Atwima Cooperative Credit Union currently operates in mainly seven different towns in the Ashanti Region of Ghana and looks forward to extending it's operation to the whole district of Atwima Nwabiagya.,https://www.facebook.com/Atwima-Co-operative-Credit-Union-1334897353192610/,atwimaco.operative@gmail.com,34
Youth-led Co-ops,Ovoke Thift and Credit Coop,Banking / credit unions,Africa,Nigeria,Abuja,9.0764785,7.398574,6-20,Work and employment cooperative,Banking / credit unions,n/a,My coop is a credit coop that helps people who need credit.,Cooperative members contribute according to their income.,n/a,ovokebaby@gmail.com,35
Youth-led Co-ops,Ibanda Smart Agro Savers Savings and Credit Ltd,Banking / credit unions,Africa,Uganda,Ibanda,-0.096489,30.5739579,6-20,Work and employment cooperative,Banking / credit unions,n/a,ISAS SACCO is savings and credit society that is mobilising savings among the youths and other people in the rural and semi-urban areas of uganda and turn those savings into micro and small loans to members. We inculcate the culture of saving in our members while training them in enterprise management where they identify profitable enterprises of their choice and borrow from their SACCO to fund their business ideas.,ISAS SACCO started as a youth saving group in 2012 and officially registered under the Ugandan laws with ministry of Trade and Cooperatives in 2015. By the year 2017 we had an accumulated member saving of more than 100 million shillings with a membership of more than 200 people 60% of whom are below the age of 32.,n/a,amuhandiki@gmail.com,36
Youth-led Co-ops,Kenya Medical Association SACCO,Banking / credit unions,Africa,Kenya,Nairobi,-1.2920659,36.8219462,n/a,Work and employment cooperative,Banking / credit unions,"KMA Sacco P.O Box 413-00202 Nairobi, Kenya",In 1998 the Kenya Medical Association SACCO (KMA SACCO) was registered as a Savings and Credit Co-operative Society to offer financial services to KMA members.,,www.kmasacco.com,info@kmasacco.com,37
Youth-led Co-ops,Asociada a Coopcarvajal y empleada a Coofipopular,Cooperativa de múltiples actores,Americas,Colombia,Cali,3.4516467,-76.5319854,21-50,Cooperativa de múltiples actores,Banking / credit unions,"Calle 29 Norte 6AN - 40 Santa Mónica, Cali, Colombia","Es la cooperativa de los empleados de Carvajal, se enfoca en ahorro y crédito, dan auxilios de salud y de educación.","Es una Cooperativa muy completa, enfocada en mejorar la calidad de vida de los asociados",coopcarvajal.com,n/a,38
Youth-led Co-ops,Coopnazonaf,Cooperativa de múltiples actores,Americas,Dominican Republic,Santo Domingo,18.4860575,-69.9312117,21-50,Cooperativa de múltiples actores,Banking / credit unions,"Avenida Abrahan Lincoln, Plaza Castilla, local 5t , 3er nivel, Santo Domingo, Dominican Republic","Cooperativa de ahorro,credito y servicios multiples de los trabajadores de zona franca.",Estamos emprendiendo en el sector turistico y empresas privadas.,www.coopnazonaf.com,info@coopnazonaf.com,39
Youth-led Co-ops,Cooperativa Ahorro y Credito Herrera (COOP-HERRERA),Cooperativa de múltiples actores,Americas,Dominican Republic,Santo Domingo Oeste,18.4888797,-70.0086306,51-100,Cooperativa de múltiples actores,Banking / credit unions,"Ave. Isabel Aguiar No. 235, Herrera, Municipio Santo Domingo Oeste, Provincia Santo Dominigo, Republica Dominicana","La Cooperativa Herrera es una empresa de carácter socio económico, abierta a la comunidad, cuyo funcionamiento está basado en los Principios Cooperativos, los cuales se fundamentan en la filosofía de cooperación y sus valores esenciales de igualdad, equidad, pluralidad, mutualidad y auto-ayuda.","SERVICIOS QUE OFRECEMOS 1. Cuentas Ahorros. • Ahorros Retirables • Aportaciones • Cosecha de Oro • Cuentas Infantiles • Ahorros Programados • Ahorros por Nómina 2. Créditos / Préstamos. • Línea de Crédito • Préstamos a Micro y Medianas Empresas • Préstamos Personales • Préstamos Estudiantiles y/o Pasantías • Préstamos Hipotecarios • Préstamos para Turismo y Recreación • Préstamos para Vehículos • Préstamos de Salud • Préstamos Escolares 3. Seguros. • Seguro Médico Humano • Seguros de Salud • Seguros para Automóviles • Líneas aliadas (viviendas, robos, incendios, terremotos, etc.) • Seguro Escolar 4. Servicios Especiales. • Remesas nacionales e internacionales • Amparo Familiar • Planes Funerarios • Feria de Electrodomésticos • Planes de Viviendas 5. Medios Electrónicos de Pagos. • Tarjeta de Débito • Nóminas Electrónicas • Administración de nómina y empleados 6. Otros. • Pago de servicios de agua, energía eléctrica, teléfono, cable, basura, impuestos, pago Tarjeta de Crédito, seguros... • Todo Pago. Responsabilidad Social COOP-HERRERA: • Centro Atención Integral Familias Inteligentes (CAIFI) con acción gratuita de Salud Mental. • Educación, formación e información sobre Cooperativismo. • Educación Financiera. • Programas de Emprendimiento y Empoderamiento para Juventud y Mujer. • Programas Dinámicos Cultura Ahorro Infantil • Dimensión de Identidad Cultural, Recreativa y Sostenibilidad del Medio Ambiente y Biodiversidad.",www.coopherrera.com,info@coopherrera.com,40
Youth-led Co-ops,Ejército Comunicacional de Liberación,Cooperativa de múltiples actores,Americas,Venezuela,Caracas,10.4805937,-66.9036063,0-5,Cooperativa de múltiples actores,Communications,"av. Lecuna, cr. Parque Central, edif. Caroata, nivel ofic 2, oficina 209, Caracas, Venezuela",El ECL es una una cooperativa de productores culturales multidisciplinarios de Venezuela.,"El Ejército Comunicacional de Liberación somos un colectivo de productorxs culturales en distintos campos de la comunicación, la creación de contenidos, la investigación y la propaganda. Nuestro trabajo cooperativo e interdisciplinario apunta a la exploración de estéticas, lenguajes y herramientas para generar reflexiones sobre los dispositivos de dominio, y desencadenar procesos de empoderamiento colectivo. Asimismo, avanza a la coordinación de acciones, vínculos y horizontes con otros colectivos, de distintos ámbitos de la producción y la organización popular, especialmente en Venezuela y Nuestramérica.",www.ecl.com.ve,grafico@ecl.com.ve,41
Youth-led Co-ops,Intergalactic,Cooperativa de producción,Americas,Uruguay,Montevideo,-34.9011127,-56.1645314,0-5,Cooperativa de producción,Communications,"11800 Montevideo, Uruguay","Intergalactic es una productora audiovisual cooperativa, resolvemos necesidades de comunicación por medio de la realización de piezas audiovisuales. Nos encargamos del desarrollo de conceptos, pre-producción, producción, post-producción y distribución. Orientamos nuestros servicios a la excelencia y a la mejora permanente. El trabajo en equipo y la calidad de nuestro producto final es la meta principal. Nuestros principales productos son piezas audiovisuales de; animación, institucionales y publicidad. Además desarrollamos contenido de ficción independiente (largometrajes, cortometrajes) y documental, en co-producción con terceros.","Creemos firmemente que la producción audiovisual reviste de una importancia significativa para cualquier país soberano, dado su potencial para la promoción de la imagen del mismo para sí como para el exterior. Asimismo, es de suma relevancia para la economía en su conjunto, no sólo por generar servicios y productos de alto valor agregado con mano de obra calificada de diversas disciplinas, sino también por generar encadenamientos con otros sectores a través de demanda por servicios gastronómicos, alojamiento, transporte, vestuario. Estos servicios generan una red de exportaciones competitivas muy amplia. Parte de la demanda que la empresa logra satisfacer es aportando a la imagen audiovisual en el movimiento cooperativo. Esforzándonos siempre por alcanzar productos de alta calidad, acompasados con los estándares globales de comunicación.",www.intergalactic.uy,contacto@intergalactic.uy,42
Youth-led Co-ops,Mecha,Cooperativa de producción,Americas,Venezuela,Caracas,10.4805937,-66.9036063,6-20,Cooperativa de producción,Communications,"1015 Parque Central, edificio Caroata, nivel de Oficinas 2, oficina 209, san Agustín, Caracas, Venezuela","Somos un equipo de productores de contenido multiformato, dedicados a comunicar ideas, miradas e historias por distintos medios.","Combinamos las posibilidades técnicas de la animación 2D y 3D, las interfaces interactivas y el diseño editorial, con las herramientas metodológicas y creativas del arte, la literatura y las ciencias sociales, para generar productos comunicacionales y sistemas de seguridad innovadores y efectivos. En nuestros nueve años de experiencia como equipo de trabajo, hemos apuntado a explotar las posibilidades de la comunicación (audio)visual y digital, para acompañar procesos de formación colectiva, preservación cultural y medioambiental, y mejora en la calidad de vida de los seres humanos.",http://mecha.pro,hola@mecha.pro,43
